Alias,FirstName,LastName,DoB,Country,Height (cm),Weight (kg),Wins,Losses,Draws,#Championships
El Cacto,Carlos,Martinez,1992-04-23,Mexico,180,85,23,7,2,0
La Rosa,Sofia,Guerrero,1985-11-30,Spain,170,60,30,5,1,0
Mighty Serpent,Michael,Vasquez,1990-02-15,USA,185,90,28,10,0,4
The Anvil,Antonio,Rodriguez,1978-08-24,Mexico,175,80,35,12,1,0
Flying Falcon,Maria,Cruz,1995-07-03,USA,165,55,15,3,2,1
Furious Tiger,Andres,Gomez,1980-03-12,Mexico,182,88,40,8,3,6
The Hurricane,Isabella,Fernandez,1989-06-18,Spain,160,50,20,6,1,0
Crimson Wolf,David,Ortiz,1993-12-10,USA,178,86,24,9,2,2
El Toro,Jose,Garcia,1982-01-23,Mexico,184,92,33,11,0,0
Rapid Thunder,Luis,Morales,1996-05-30,Spain,170,75,18,4,3,0
Silver Sword,Roberto,Sanchez,1979-04-27,Mexico,177,87,36,13,0,0
Twisting Tornado,Miguel,Perez,1983-09-15,USA,180,85,31,7,1,0
Iron Claw,Anna,Martinez,1990-11-28,Spain,168,58,25,5,2,0
Masked Eagle,Daniel,Rivera,1994-03-10,Mexico,175,80,22,8,0,1
The Panther,Maria,Hernandez,1986-10-21,USA,165,55,27,6,1,0
Whirlwind Leopard,Francisco,Ramirez,1978-05-20,Spain,183,89,38,15,1,4
Invisible Phantom,Juan,Gonzalez,1981-07-25,Mexico,179,84,32,10,2,0
Quick Lizard,Diego,Flores,1992-02-19,USA,176,82,20,6,3,0
Golden Comet,Elena,Rodriguez,1993-08-12,Spain,162,53,23,4,1,0
Daring Hornet,Andrea,Reyes,1987-12-30,Mexico,170,65,29,7,0,0
Thunder Strike,Martin,Alvarez,1977-01-15,USA,182,90,42,16,1,0
The Cobra,Rafael,Moreno,1984-04-29,Spain,175,78,34,12,2,0
Swift Puma,Gabriel,Gutierrez,1995-06-21,Mexico,180,83,18,5,1,1
Blazing Phoenix,Victoria,Robles,1988-10-03,USA,167,57,26,8,2,0
Stealthy Jaguar,Luisa,Mendoza,1991-03-05,Spain,163,54,21,3,3,0
